COUNTRY;ISO3;Human Development Inde;Multidimensional Poverty Inde;Development & Deprivation;Gender Inequality Inde;Gini Inde;Inequality;Total public Aid (M US$);Public Aid per capita (US$);Public Aid per capita (US$);Net ODA received (% of GNI);Aid Dependency Inde;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted people (total population);Total/Pop;Total Uprooted people (percentage of the total population);Uprooted people;Estimated number of people living with HIV - Adult (>15) rate;Tuberculosis prevalence;Malaria mortality rate;Health Conditions;Child Mortality;Malnutrition in children under 5;Children Under 5;Total affected by Natural Disasters last 3 years (1,000 people);Natural Disasters % of total pop;Recent Shocks;Food Availability Score;Food Utilization Score;Domestic Food Price Level Inde;Domestic Food Price Volatility Inde;Food Acces Score;Food Security;Other Vulnerable Groups;INFORM Vulnerable Groups
Ireland;IRL;0,4;;0,4;1,7;1,9;1,8;0,793458;0,166235535;0;;0;0,7;5,731;2,5;0,001200688;3,3;2,9;0,4;0,1;;0,3;0,3;;0,3;0,1;2,10E-05;0;0,5;0;0,3;1,7;0,6;0,4;0,3;1,7
Israel;ISR;0,8;;0,8;1,4;4,4;2,9;0,919497;0,107579998;0;;0;1,1;35,851;5,2;0,004194522;4,5;4,9;;0,1;;0,1;0,3;;0,3;30,1185;0,003523827;0,4;0;0;1,3;3;1,6;0,5;0,3;2,9
Italy;ITA;1;;1;1,1;2,5;1,8;0,410233;0,006769455;0;;0;1;157,839;7,3;0,002604579;4;5,7;0,6;0,1;;0,4;0,3;;0,3;19,074;0,000314749;0;1,1;0;1,1;2,5;1,4;0,8;0,4;3,5
Jamaica;JAM;3,4;0;1,9;5,6;5,1;5,4;40,109726;13,92043882;0,3;0,1;0,2;2,4;0,015;0;5,21E-06;0;0;3,4;0,1;;1,8;1,2;0,6;0,9;62,5;0,021691183;2,2;4,8;1,1;4,4;3,5;4,2;3,4;2,1;1,1
Japan;JPN;0,7;;0,7;1,5;1,8;1,7;0;0;0;;0;0,8;2,53;1,3;1,99E-05;0;0,7;0,2;0,3;;0,3;0,2;0,8;0,5;290,4285;0,002286937;0,2;5,1;0;1;2,8;1,4;2,2;0,8;0,8
Jordan;JOR;3,2;0;1,7;6,4;2,2;4,3;5042,016333;533,2193222;10;4,8;7,4;3,8;2983,329;10;0,315502482;10;10;0,2;0,1;;0,2;1,4;0,7;1,1;0;0;0;2,4;0;3,9;3,1;3,7;2;0,9;7,7
Kazakhstan;KAZ;2,4;0;1,3;2,7;0,3;1,5;17,689519;0,993958937;0;0;0;1;0,622;0;3,49E-05;0;0;0,4;1,2;;0,8;0,9;0,8;0,9;3,1675;0,000177979;0;1,7;0;;;;0,9;0,7;0,4
Kenya;KEN;6,1;2,6;4,6;7,5;5,9;6,7;3426,633284;70,70826276;1,4;2,1;1,8;4,4;623,898;9,3;0,012874078;6;7,7;10;6,3;4,2;6,8;3,8;2,4;3,1;719,9905;0,014856938;1,5;6,1;4,7;5,4;3;4,9;5,2;4,5;6,4
Kiribati;KIR;5,6;;5,6;;3,2;3,2;76,06;664,8891997;10;10;10;6,1;0;0;0;0;0;;10;;10;4,2;3,3;3,8;0,375;0,003278115;0,3;1,5;0;;;;0,8;5,6;3,3
Korea DPR;PRK;7,5;;7,5;;;;57,86;2,280770495;0;;0;5;0;0;0;0;0;;9,3;0;4,7;1,5;3,4;2,5;4800,88525;0,18924503;10;8,3;10;;;;9,2;7,8;5
Korea Republic of;KOR;0,8;;0,8;0,9;;0,9;0,742259;0,014484315;0;;0;0,6;2,051;1;4,00E-05;0;0,5;;1,4;0;0,7;0,3;0,1;0,2;20,76925;0,000405288;0;2;0;0,9;4,6;1,6;1,2;0,5;0,5
Kuwait;KWT;2,3;;2,3;4,5;;4,5;0;0;0;;0;2,3;0,844;0;0,000208262;2,2;1,1;0,2;0,4;;0,3;0,6;0,7;0,7;0;0;0;1,3;0;1,8;1,9;1,8;1;0,5;0,8
Kyrgyzstan;KGZ;4,4;0;2,5;5,3;0,5;2,9;296,269362;48,70688379;1;5,5;3,3;2,8;0,35;0;5,75E-05;1,6;0,8;0,4;2,6;0;1;1,6;0,6;1,1;9,25;0,001520706;0,2;4;0,5;;;;2,3;1,2;1
Lao PDR;LAO;5,6;3;4,4;6,2;3,2;4,7;597,789013;88,4518777;1,8;1,8;1,8;3,8;0;0;0;0;0;0,6;3,2;0,8;1,5;4,9;5,9;5,4;25,149;0,003721173;0,4;5,9;4;8,5;1,8;7,2;5,7;3,6;2
Latvia;LVA;1,8;;1,8;2,5;2,6;2,6;0;0;0;;0;1,6;0,546;0;0,000278511;2,3;1,2;1,4;0,7;;1,1;0,4;;0,4;0;0;0;2,4;0;2,1;4;2,5;1,6;0,8;1
Lebanon;LBN;2,9;;2,9;5,1;;5,1;4124,460574;686,647002;10;1,6;5,8;4,2;1527,991;10;0,254382463;10;10;0,2;0,2;;0,2;0,6;;0,6;250,423;0,041690834;4,2;3,3;0,1;;;;1,7;1,8;7,9
Lesotho;LSO;7;3,9;5,7;7,3;7,3;7,3;132,585939;60,16184572;1,2;2,9;2,1;5,2;0,059;0;2,68E-05;0;0;10;10;;10;7,2;2,3;4,8;489,5;0,222114228;10;5,2;3,2;3,8;3,2;3,7;4;8,4;5,6
Liberia;LBR;8;6,8;7,4;8,6;2,9;5,8;1203,723456;260,8950226;5,2;10;7,6;7,1;11,15;3,5;0,002416651;4;3,8;3,2;5,6;5,8;4,9;5,2;3,4;4,3;7,7155;0,001672257;0,2;7,2;10;;;;8,6;5,3;4,6
Libya;LBY;3,6;0;2;2,2;;2,2;465,537866;73,97412213;1,5;;1,5;1,9;174,928;7,5;0,027796118;7,2;7,4;;0,7;;0,7;1;1,2;1,1;0;0;0;2,3;0,1;;;;1,2;0,8;4,9
Liechtenstein;LIE;0,6;;0,6;;;;0;0;0;;0;0,4;0,177;0;0,004699198;4,7;2,4;;;;;;;;0;0;0;;0;;;;0;0;1,3
Lithuania;LTU;1,6;;1,6;1,6;2,5;2,1;0;0;0;;0;1,3;1,283;0,4;0,000446681;2,6;1,5;0,4;1;;0,7;0,4;;0,4;0;0;0;1,2;0;2,8;2,8;2,8;1,3;0,6;1,1
Luxembourg;LUX;0,8;;0,8;1;2,4;1,7;0;0;0;;0;0,8;2,046;1;0,003509603;4,3;2,7;;0,1;;0,1;0,2;;0,2;0;0;0;1,6;0;0,3;4,5;1,1;0,9;0,3;1,6
Madagascar;MDG;6,7;8,2;7,5;;3,9;3,9;709,902989;28,51639945;0,6;4,3;2,5;5,4;0,043;0;1,73E-06;0;0;0,4;4,3;3,4;2,7;3,6;;3,6;1058,24625;0,04250915;4,3;8;10;6,7;1,8;5,7;7,9;5;2,9
Malawi;MWI;7,3;5;6,3;8,2;5,3;6,8;1496,735261;82,73106008;1,7;10;5,9;6,3;11,977;3,6;0,000662021;2,9;3,3;10;2,9;5,3;6,1;4,2;3,7;4;917,243;0,050700005;5,1;6;7;7,4;10;7,9;7;5,7;4,6
Malaysia;MYS;2,5;;2,5;3,9;5,3;4,6;-79,238457;-2,540731274;0;0;0;2,4;95,903;6,6;0,003075069;4,2;5,4;0,8;1,7;0,1;0,9;0,6;2,9;1,8;38,654;0,001239416;0,1;3,1;0;2,1;2,2;2,1;1,7;1,1;3,5
Maldives;MDV;3,8;0;2,1;4,2;2,9;3,6;30,262182;72,48565721;1,4;0,4;0,9;2,2;0;0;0;0;0;0,2;0,9;;0,6;0,7;4;2,4;0;0;0;4;1,2;2,8;7,1;3,7;3;1,6;0,8
Mali;MLI;7,8;9;8,5;9,2;2;5,6;1760,513086;97,83435014;2;5,9;4;6,7;129,732;7;0,007209402;5,2;6,1;2;1;7,7;3,6;8,5;6,2;7,4;5,25;0,00029175;0;0,4;0;7,4;4,7;6,9;2,4;3,9;5,1
Malta;MLT;1,4;;1,4;2,9;;2,9;0,254582;0,582638169;0;;0;1,4;8,314;3,1;0,019027479;6,6;4,9;0,2;0,2;;0,2;0,5;;0,5;0;0;0;2,3;0;1,8;4,3;2,3;1,5;0,6;3
Marshall Islands;MHL;5,9;;5,9;;;;70,606987;1330,55039;10;3,2;6,6;6,1;0;0;0;0;0;;7,7;;7,7;2,7;2,9;2,8;10,5;0,197866807;10;10;0;;;;5;7,4;4,7
Mauritania;MRT;6,7;5,4;6,1;8,4;1,9;5,2;251,845811;58,55493072;1,2;4,2;2,7;5;81,034;6,4;0,018840656;6,6;6,5;1;1,9;5,6;2,8;6,3;4,3;5,3;3893,814;0,905323809;10;2,3;0,1;10;1,6;8,3;3,6;6,6;6,6
Mauritius;MUS;2,6;;2,6;5,1;2,7;3,9;46,48;36,78748972;0,7;0,2;0,5;2,4;0,003;0;2,37E-06;0;0;1,8;0,4;;1,1;1,1;;1,1;0;0;0;3,1;0,1;4,3;5,9;4,6;2,6;1,2;0,6
Mexico;MEX;2,9;0;1,6;4,6;5,8;5,2;910,564386;7,139417899;0,1;0,1;0,1;2,1;317,713;8,3;0,002491077;4;6,2;0,6;0,4;0;0,3;1,1;0,6;0,9;46,46675;0,00036433;0;2,7;0;3;2,4;2,9;1,9;0,8;4
Micronesia;FSM;4,8;;4,8;;;;153,0588;1458,578004;10;8,8;9,4;6,3;0,004;0;3,81E-05;0;0;;3,2;;3,2;2,6;3,3;3;58,75;0,559859725;10;10;0;;;;5;6,5;4
Moldova Republic of;MDA;3,9;0;2,2;3,1;0,5;1,8;292,21;82,26632883;1,6;3,1;2,4;2,2;0,408;0;0,000114865;1,9;1;1,2;1,8;;1,5;1,2;0,5;0,9;0;0;0;6;1,2;4,2;2,9;3,9;3,7;1,6;1,3
Mongolia;MNG;3,3;0;1,8;3,7;1,8;2,8;497,915367;164,4697417;3,3;2,1;2,7;2,3;0,008;0;2,64E-06;0;0;0,2;3,3;;1,8;1,4;0,4;0,9;319,75;0,105618752;10;5,9;4,9;4,2;8,4;5;5,3;6,1;3,6
Montenegro;MNE;2,2;0;1,2;2,1;1,7;1,9;39,95799;64,16057972;1,3;1,3;1,3;1,4;0,919;0;0,001475639;3,5;1,8;0,2;0,3;;0,3;0,3;0,2;0,3;0,2;0,00032114;0;0,1;0;5,1;;5,1;1,7;0,6;1,2
Morocco;MAR;4,7;0,4;2,8;6,6;3,9;5,3;1633,413181;46,30278035;0,9;1,3;1,1;3;5,167;2,4;0,00014647;2;2,2;0,2;1,9;;1,1;2,1;0,7;1,4;2025;0,057403192;5,7;0,7;0;5,2;2,5;4,7;1,8;2,7;2,5
Mozambique;MOZ;8,2;7,6;7,9;7,7;5,1;6,4;2245,069201;77,87408973;1,6;9,5;5,6;7;11,018;3,5;0,000382178;2,5;3;10;10;5,9;8,6;5,5;3,5;4,5;2031,16325;0,070454394;7;5,5;7,2;8,5;3,4;7,5;6,7;6,9;5,3
Myanmar;MMR;6,1;;6,1;5;;5;2333,306042;44,12018832;0,9;1,7;1,3;4,6;618,516;9,3;0,011695441;5,9;7,6;1,6;6,6;0,9;3;3,9;5;4,5;2929,995;0,055402904;5,5;5,1;4;8,3;4,1;7,5;5,5;4,7;6,4
Namibia;NAM;4,8;3,4;4,1;6,3;9;7,7;244,23;98,49123669;2;1,1;1,6;4,4;1,98;1;0,00079848;3;2;10;8,1;0;6;3,5;2,9;3,2;5,377;0,002168396;0,2;7,2;7,9;2,7;3,6;2,9;6;4,2;3,2
Nauru;NRU;3,5;;3,5;;;;46,57;3568,855851;10;10;10;5,7;0,506;0;0,038776918;7,9;4;;2;;2;2,7;1,1;1,9;0;0;0;10;0;;;;5;2,4;3,2
Nepal;NPL;6;1,5;4,1;6,6;1,9;4,3;1288,402276;44,45407348;0,9;3,3;2,1;3,7;73,566;6,2;0,002538267;4;5,1;0,4;2,8;0;1,1;2,7;6,5;4,6;3133,99625;0,108133075;10;3,9;1;9,4;5,1;8,5;4,5;6,4;5,8
Netherlands;NLD;0,4;;0,4;0,6;0,7;0,7;0;0;0;;0;0,4;101,744;6,7;0,005978468;5;5,9;0,4;0,1;;0,3;0,3;;0,3;0;0;0;3,2;0;0,4;2,8;0,9;1,4;0,5;3,7
New Zealand;NZL;0,5;;0,5;2,1;;2,1;-0,011745;-0,002502824;0;;0;0,8;1,467;0,6;0,000312613;2,4;1,5;0,2;0,1;;0,2;0,4;;0,4;2,5;0,000532742;0,1;3,9;0;1,1;;1,1;1,7;0,6;1,1
Nicaragua;NIC;4,7;0,9;3;6,2;5,5;5,9;331,286616;53,86837309;1,1;2,2;1,7;3,4;0,33;0;5,37E-05;1,6;0,8;0,4;0,9;0;0,4;1,5;1,3;1,4;45,4225;0,007385859;0,7;4,5;4;3,9;3,2;3,8;4,1;1,8;1,3
Niger;NER;9,2;10;9,7;9,3;2,2;5,8;1239,114215;59,93880589;1,2;;1,2;6,6;294,986;8,2;0,014269152;6,1;7,2;0,8;1,7;10;4,2;7;8,4;7,7;2076,00875;0,10042132;10;3,6;2,1;6,9;4,7;6,5;4,1;7,4;7,3
Nigeria;NGA;6,5;5,1;5,8;;4,5;4,5;4081,796689;21,94636682;0,4;0,4;0,4;4,1;1989,335;10;0,010695946;5,7;7,9;5,8;4;8,9;6,2;8;4,4;6,2;46,4635;0,000249818;0;3,9;1;5,9;2;5,1;3,3;4,3;6,4
Norway;NOR;0;;0;0,7;0,2;0,5;0;0;0;;0;0,1;60,118;5,9;0,011488404;5,8;5,9;0,4;0,1;;0,3;0,2;;0,2;0;0;0;1,9;0;0,6;5,7;1,6;1,2;0,4;3,6
Oman;OMN;2,4;;2,4;3,8;;3,8;0;0;0;;0;2,2;0,315;0;7,12E-05;1,7;0,9;0,4;0,2;;0,3;0,8;1,9;1,4;1,5;0,000339001;0;3,6;0,4;2,5;4,6;2,9;2,3;1;1
Pakistan;PAK;6,2;4,2;5,3;7,3;1,1;4,2;3914,170977;20,25932007;0,4;0,7;0,6;3,9;1687,132;10;0,00873241;5,4;7,7;0,2;4,9;0,2;1,8;6,1;7;6,6;608,95675;0,003151893;0,3;5,3;5;6,8;6,6;6,8;5,7;4,1;6,2
Palau;PLW;2,5;;2,5;;;;22,283379;1036,291634;10;4,2;7,1;4;0,005;0;0,000232526;2,2;1,1;;2,2;;2,2;1,2;0,5;0,9;0;0;0;10;0;;;;5;2,2;1,7
Palestine;PSE;4,1;0;2,3;;2,4;2,4;3262,966012;716,8886515;10;10;10;4,3;2606,111;10;0,572574582;10;10;;0;;0;1,5;0,3;0,9;7,7625;0,001705457;0,2;3,9;1,5;;;;2,7;1;7,8
Panama;PAN;2,5;;2,5;6,1;6,4;6,3;6,39369;1,584903668;0;0;0;2,8;17,373;4,1;0,004306516;4,6;4,4;1,6;1;0;0,9;1,3;0,9;1,1;7,625;0,001890128;0,2;4;1,4;2,2;1,1;2;2,5;1,2;3
Papua New Guinea;PNG;6,7;;6,7;7,9;4,7;6,3;905,58042;112,0075978;2,2;1,8;2;5,4;17,967;4,2;0,002222266;3,9;4,1;1,8;7,9;3,3;4,3;4,2;6,2;5,2;507,29975;0,062745865;6,3;6,5;3;;;;4,8;5,2;4,7
Paraguay;PRY;4;;4;6,2;6,7;6,5;67,519684;10,0396419;0,2;0,2;0,2;3,7;0,214;0;3,18E-05;0;0;1;0,8;0;0,6;1,5;0,6;1,1;37,54375;0,005582458;0,6;5,3;2,3;3,7;5,6;4,1;3,9;1,7;0,9
Peru;PER;3,2;0;1,7;5,1;4,8;5;565,058341;17,78375988;0,4;0,1;0,3;2,2;63,983;6;0,002013701;3,8;4,9;0,6;2,1;0,1;0,9;1,2;0,8;1;2174,9145;0,068449847;6,8;3,9;1;3,2;1,7;2,9;2,6;3,3;4,1
Philippines;PHL;4,1;0;2,3;5,8;4,5;5,2;887,289538;8,587762431;0,2;0,1;0,2;2,5;499,727;9;0,004836681;4,7;6,9;0,2;10;0;3,4;2,1;4,5;3,3;5679,75325;0,054972328;5,5;4,4;2,9;6,5;1,3;5,5;4,3;4,2;5,7
Poland;POL;1,5;;1,5;1,8;1,8;1,8;0,1;0,002635184;0;;0;1,2;12,002;3,6;0,000316275;2,4;3;0,2;0,3;;0,3;0,4;;0,4;0,0015;3,95E-08;0;1,6;0;1,8;3,5;2,1;1,2;0,5;1,8
Portugal;PRT;1,6;;1,6;1,2;2,8;2;0,262877;0,025461201;0;;0;1,3;1,194;0,3;0,000115646;1,9;1,1;;0,4;;0,4;0,3;;0,3;3,9845;0,000385923;0;1,3;0;1,6;4,5;2,2;1,2;0,5;0,8
Qatar;QAT;1,4;;1,4;7,2;;7,2;0;0;0;;0;2,5;0,188;0;7,32E-05;1,7;0,9;0,2;0,4;;0,3;0,7;;0,7;0;0;0;1,3;0;0,8;3,2;1,3;0,9;0,5;0,7
Romania;ROU;2,3;;2,3;4,5;0,6;2,6;0;0;0;;0;1,8;3,423;1,8;0,00017371;2,1;2;0,2;1,3;;0,8;0,7;;0,7;0,662;3,36E-05;0;2;0;3;2,2;2,8;1,6;0,8;1,4
Russian Federation;RUS;2,2;;2,2;3,6;4,1;3,9;0,344747;0,002388397;0;;0;2,1;207,704;7,7;0,001438967;3,5;5,6;;1,2;;1,2;0,6;;0,6;23,63925;0,000163772;0;1,9;0;3,7;2,6;3,5;1,8;0,9;3,6
Rwanda;RWA;7;4,5;5,9;5,1;6,6;5,9;1133,968548;95,151482;1,9;9,4;5,7;5,9;168,021;7,4;0,014098669;6,1;6,8;6,2;0,9;2,8;3,3;3;2,6;2,8;9,41075;0,000789658;0,1;7,2;10;8,5;5,3;7,9;8,4;4,5;5,8
Saint Kitts and Nevis;KNA;2,8;;2,8;;;;0;0;0;;0;1,9;0;0;0;0;0;;0;;0;0,7;;0,7;0;0;0;6,5;0,3;2,1;;2,1;3;1;0,5
Saint Lucia;LCA;3,3;0;1,8;4,7;;4,7;9,9;55,61329101;1,1;0,7;0,9;2,3;0,002;0;1,12E-05;0;0;;0;;0;1;0,6;0,8;0,625;0,00351094;0,4;5,9;4;2,7;6,2;3,4;4,4;1,6;0,8
Saint Vincent and the Grenadines;VCT;3,5;;3,5;;;;6,805;62,06506571;1,2;0,8;1;2,7;0;0;0;0;0;;0,1;;0,1;1,3;;1,3;12,5;0,114006366;10;3,9;0,3;2,7;2,4;2,6;2,3;5,4;3,1
Samoa;WSM;3,8;;3,8;5,9;4,4;5,2;113,070811;579,478852;10;7,6;8,8;5,4;0;0;0;0;0;;0,1;;0,1;1,3;0,6;1;0;0;0;2,8;0;;;;1,4;0,6;0,3
Sao Tome and Principe;STP;5,8;3,7;4,8;7;1,5;4,3;45,73;228,7529388;4,6;9,1;6,9;5,2;0;0;0;0;0;1,6;1,8;3,6;2,3;2,6;3,2;2,9;0;0;0;5,3;2,8;9;;9;5,7;3;1,6
Saudi Arabia;SAU;1,6;;1,6;3,4;;3,4;0;0;0;;0;1,7;30,14;4,9;0,00093383;3,1;4;0,2;0,2;0;0,1;1;1,2;1,1;0,9995;3,10E-05;0;1,5;0;2,1;1,9;2,1;1,2;0,6;2,5
Senegal;SEN;7;5,1;6,1;6,9;3,8;5,4;1012,062853;65,66884254;1,3;3,5;2,4;5;38,565;5,3;0,002502334;4;4,7;0,8;2,5;4,9;2,7;3,6;2,8;3,2;5,323;0,000345389;0;5,1;2,1;8,2;4,4;7,4;4,9;2,9;3,9
Serbia;SRB;2,7;0;1,4;2,5;1,2;1,9;373,545647;52,9295508;1,1;1,2;1,2;1,5;33,799;5,1;0,004789149;4,7;4,9;0,2;0,3;;0,3;0,4;0,4;0,4;4,2105;0,000596607;0,1;5,3;0,2;3,3;4,3;3,5;3;1;3,2
Seychelles;SYC;2,6;;2,6;;4,4;4,4;-5,47;-57,77538367;0;0,3;0,2;2,5;0;0;0;0;0;;0,3;;0,3;1,1;0,8;1;0,1265;0,001336122;0,1;6,7;0,1;6,3;3,6;5,8;4,2;1,6;0,8
Sierra Leone;SLE;8,2;8;8,1;8,7;2,2;5,5;975,590559;131,904475;2,6;10;6,3;7;0,693;0;9,37E-05;1,8;0,9;3,4;5,5;9,1;6;8,7;4;6,4;14,17575;0,001916629;0,2;6;8,6;6,5;1,7;5,5;6,7;5,3;3,4
Singapore;SGP;0,4;;0,4;0,9;;0,9;0;0;0;;0;0,4;0;0;0;0;0;0,3;0,9;;0,6;0,2;;0,2;6,5255;0,001163754;0,1;3,1;0;0;2;0,4;1,2;0,5;0,3
Slovakia;SVK;1,6;;1,6;2,4;0,3;1,4;0;0;0;;0;1,2;0,984;0;0,000181259;2,1;1,1;0,2;0,1;;0,2;0,5;;0,5;0;0;0;4,3;0;1,8;4,6;2,4;2,2;0,8;1
Slovenia;SVN;0,9;;0,9;0,7;0,1;0,4;1,861034;0,90129477;0;;0;0,6;0,551;0;0,000266848;2,3;1,2;0,2;0,1;;0,2;0,2;;0,2;0;0;0;3,1;0;1,3;4,7;2;1,7;0,5;0,9
Solomon Islands;SLB;6,7;;6,7;;5,3;5,3;318,441045;531,2495016;10;10;10;7,2;0;0;0;0;0;;1,5;0,5;1;2;2,6;2,3;16,615;0,027718507;2,8;5,2;3;;;;4,1;2,6;1,4
Somalia;SOM;10;10;10;10;;10;3788,444723;264,593224;5,3;10;7,7;9,4;1590,509;10;0,11108461;10;10;0,8;4,9;2,8;2,8;10;5,1;7,6;1425,2825;0,099544832;10;8,3;7,9;;;;8,1;8;9,3
South Africa;ZAF;4,4;0;2,5;5,3;9,6;7,5;1935,238913;34,61416982;0,7;0,3;0,5;3,3;92,296;6,6;0,001650829;3,6;5,1;10;10;0,2;6,7;3,3;1,9;2,6;688,96;0,012322912;1,2;3,6;0;2,3;3,1;2,5;2;3,5;4,3
South Sudan;SSD;8,2;10;9,3;;;;5738,144224;469,1579508;9,4;;9,4;9,3;2219,999;10;0,181509934;10;10;5,4;2,7;4,6;4,2;7;6,1;6,6;1813,3675;0,148263227;10;7,7;9;;;;8,4;8;9,3
Spain;ESP;1;;1;1,1;2,7;1,9;0;0;0;;0;1;15,557;4;0,000334963;2,4;3,2;0,8;0,2;;0,5;0,3;;0,3;1,6125;3,47E-05;0;3,2;0;1,1;4,2;1,7;1,6;0,6;2
Sri Lanka;LKA;2,8;;2,8;5,1;3,4;4,3;257,283142;12,13428015;0,2;0,3;0,3;2,6;44,973;5,5;0,002121068;3,8;4,7;0,2;1,2;0;0,5;0,7;5,8;3,3;1576,02725;0,07433039;7,4;4,9;5,7;6,5;4,2;6;5,5;4,7;4,7
Sudan;SDN;7,1;5,3;6,3;7,7;2,6;5,2;2144,531033;54,18379324;1,1;0,6;0,9;4,7;4205,636;10;0,106259741;10;10;0,4;1,5;1,3;1,1;5;7,3;6,2;331,098;0,008365533;0,8;6;6,9;;;;6,5;4,2;8,3
Suriname;SUR;3,5;0;1,9;6;;6;16,18;28,97730529;0,6;0,3;0,5;2,6;0,015;0;2,69E-05;0;0;2,8;0,5;0,1;1,1;1,5;1,3;1,4;0;0;0;4,4;1;5,8;4,9;5,6;3,7;1,7;0,9
Swaziland;SWZ;6,3;1,4;4,3;7,5;6,6;7,1;124,812038;92,92846687;1,9;2,6;2,3;4,5;0,777;0;0,000578513;2,8;1,4;10;7,2;0,1;5,8;5,4;1,3;3,4;246;0,183158638;10;6,1;4,9;;;;5,5;7,1;4,9
Sweden;SWE;0,6;;0,6;0,6;0,6;0,6;0;0;0;;0;0,5;235,853;7,9;0,023816025;7;7,5;0,4;0,1;;0,3;0,2;;0,2;0;0;0;3,2;0;0,5;3,4;1,1;1,4;0,5;4,9
Switzerland;CHE;0,2;;0,2;0,5;1,7;1,1;3,76322;0,449495455;0;;0;0,4;88,066;6,5;0,010518988;5,7;6,1;0,6;0,1;;0,4;0,3;;0,3;0;0;0;2,5;0;0,4;3,3;1;1,2;0,5;3,8
Syria;SYR;6,4;0;3,9;7,4;2,7;5,1;9527,442464;516,94025;10;;10;5,7;6915,417;10;0,375216896;10;10;0,2;0,4;;0,3;1,3;2,2;1,8;0,875;4,75E-05;0;3,9;7,6;;;;5,8;2,3;8
Tajikistan;TJK;5;0;2,9;4,3;1,4;2,9;278,164765;31,84502867;0,6;2,7;1,7;2,6;2,612;1,4;0,000299029;2,4;1,9;0,6;1,5;0;0,7;3,3;3;3,2;11,847;0,001356275;0,1;7,1;8,4;;;;7,8;3,7;2,8
Tanzania;TZA;6,4;6,3;6,4;7,3;3,2;5,3;3134,42472;56,4027467;1,1;3,3;2,2;5,1;306,153;8,3;0,005509103;4,9;6,6;9,4;5,2;4,2;6,3;4,4;3;3,7;146,7225;0,002640214;0,3;5,7;9,1;10;2,4;8,5;7,8;5,1;5,9
Thailand;THA;3,2;0;1,7;4,9;3,6;4,3;195,567573;2,839930281;0,1;0;0,1;2;139,532;7,1;0,002026211;3,8;5,5;2,2;3,1;0,1;1,8;0,9;2;1,5;3994,9795;0,058013008;5,8;4,9;1,5;3,9;1,4;3,4;3,3;3,3;4,5
The former Yugoslav Republic of Macedonia;MKD;3,1;0;1,7;2,1;4,8;3,5;145,104963;69,72157634;1,4;1,1;1,3;2,1;0,742;0;0,000356524;2,5;1,3;0,2;0,3;;0,3;0,9;0,3;0,6;45,3185;0,021775115;2,2;4,3;0;4,5;4;4,4;2,9;1,6;1,5
Timor-Leste;TLS;5,3;6;5,7;;1,6;1,6;323,277991;254,8162534;5,1;5,4;5,3;4,6;0;0;0;0;0;;9,1;1,3;5,2;3,8;10;6,9;60,50075;0,04768829;4,8;6,4;7,3;;;;6,9;6;3,6
Togo;TGO;7,1;4,3;5,9;7,4;5,3;6,4;150,86845;19,83447698;0,4;2,7;1,6;5;13,846;3,8;0,001820315;3,7;3,8;4,2;0,8;6,9;4;5,8;3,6;4,7;3,693;0,000485514;0;4;2,2;6,5;7,8;6,8;4,3;3,4;3,6
Tonga;TON;3,5;;3,5;8,8;3,3;6,1;98,224501;916,9405071;10;10;10;5,8;0;0;0;0;0;;0,2;;0,2;1,3;0,4;0,9;0,196;0,00182969;0,2;8,7;0;;;;4,4;1,6;0,8
Trinidad and Tobago;TTO;2,6;0;1,4;4,3;;4,3;0;0;0;;0;1,8;0,206;0;0,00015092;2;1;2,4;0,3;;1,4;1,4;;1,4;0;0;0;2,8;0;3,4;8,3;4,4;2,4;1,3;1,2
Tunisia;TUN;3,5;0;1,9;3,9;2,7;3,3;481,742311;42,24606103;0,8;1;0,9;2;0,601;0;5,27E-05;1,5;0,8;0,2;0,7;;0,5;1;0,5;0,8;2;0,000175389;0;1,1;0;3,2;2,4;3;1,4;0,7;0,8
Turkey;TUR;2,8;;2,8;4,4;3,8;4,1;3213,214711;40,41147973;0,8;0,3;0,6;2,6;4712,124;10;0,059262739;8,7;9,4;;0,3;0;0,2;1;0,4;0,7;1,985;2,50E-05;0;0;0;3,1;6,5;3,8;1,3;0,6;6,9
Turkmenistan;TKM;4;0;2,2;;;;11,29;1,993803492;0;0,1;0,1;1,5;0,022;0;3,89E-06;0;0;;1,1;;1,1;3,9;;3,9;0;0;0;4;0,2;;;;2,1;1,9;1
Tuvalu;TUV;6,1;;6,1;;;;57,7;5199,603496;10;10;10;7,4;0;0;0;0;0;;3,8;;3,8;1,9;0,4;1,2;1,15325;0,103924484;10;8,7;0;;;;4,4;6,3;3,8
Uganda;UGA;7;6,9;7;7;4,3;5,7;2562,955879;61,77588948;1,2;5;3,1;5,7;1434,182;10;0,034568628;7,6;8,8;10;3,7;4,8;6,2;4,1;3,1;3,6;5,809;0,000140017;0;7,2;10;4,7;10;5,8;7,7;5;7,4
Ukraine;UKR;3,2;0;1,7;3,8;0;1,9;2518,718889;55,9657552;1,1;1,1;1,1;1,6;1596,719;10;0,035478983;7,7;8,9;1,8;1,6;;1,7;0,7;;0,7;0,1;2,22E-06;0;3,6;0;4,7;2;4,2;2,6;1,3;6,5
